,Country,Capital,Coordinates
0,Afganistan,Kabul,"34°32′N, 69°10′E"
1,Albania,Tirana,"41°19′N, 19°49′E"
2,Algieria,Algier,"36°47′N, 3°04′E"
3,Andora,Andora,"42°30′N, 1°30′E"
4,Angola,Luanda,"8°50′S, 13°14′E"
5,Antigua i Barbuda,Saint John’s,"17°07′N, 61°51′W"
6,Arabia Saudyjska,Rijad,"24°42′42″N, 46°43′37″E"
7,Argentyna,Buenos Aires,"34°35′S, 58°55′W"
8,Armenia,Erywań,"40°11′N, 44°31′E"
9,Australia,Canberra,"35°18′S, 149°07′E"
10,Austria,Wiedeń,"48°13′N, 16°22′E"
11,Azerbejdżan,Baku,"40°23′N, 49°52′E"
12,Bahamy,Nassau,"25°04′N, 77°20′W"
13,Bahrajn,Manama,"26°13′N, 50°35′E"
14,Bangladesz,Dhaka,"23°44′N, 90°23′E"
15,Barbados,Bridgetown,"13°06′21″N, 59°36′47″W"
16,Belgia,Bruksela,"50°50′N, 4°21′E"
17,Belize,Belmopan,"17°16′N, 88°47′W"
18,Benin,Porto-Novo,"6°28′34,831″N, 2°37′10,150″E"
19,Bhutan,Thimphu,"27°27′00″N, 89°40′12″E"
20,Białoruś,Mińsk,"53°54′N, 27°33′E"
21,Boliwia,"Sucre (stolica konstytucyjna), La Paz (siedziba rządu)","19°02′51″S, 65°15′36″W"
22,Bośnia i Hercegowina,Sarajewo,"43°51′N, 18°22′E"
23,Botswana,Gaborone,"24°40′S, 25°55′E"
24,Brazylia,Brasilia,"15°47′38″S, 47°52′58″W"
25,Brunei,Bandar Seri Begawan,"4°55′N, 114°55′E"
26,Bułgaria,Sofia,"42°41′N, 23°19′E"
27,Burkina Faso,Wagadugu,"12°22′N, 1°31′W"
28,Burundi,Gitega,"3°26′S, 29°54′E"
29,Chile,Santiago,"33°27′S, 70°40′W"
30,Chiny,Pekin,"39°55′N, 116°23′E"
31,Chorwacja,Zagrzeb,"45°48′N, 15°58′E"
32,Cypr,Nikozja,"35°10′N, 33°21′E"
33,Czad,Ndżamena,"12°06′17″N, 15°02′40″E"
34,Czarnogóra,Podgorica,"42°28′N, 19°16′E"
35,Czechy,Praga,"50°05′16″N, 14°25′16″E"
36,Dania,Kopenhaga,"55°40′N, 12°34′E"
37,Demokratyczna Republika Konga,Kinszasa,"4°19′S, 15°18′E"
38,Dominika,Roseau,"15°18′05″N, 61°23′18″W"
39,Dominikana,Santo Domingo,"18°28′35″N, 69°53′36″W"
40,Dżibuti,Dżibuti,"11°36′N, 43°10′E"
41,Egipt,Kair,"30°02′40″N, 31°14′09″E"
42,Ekwador,Quito,"0°13′12″S, 78°30′45″W"
43,Erytrea,Asmara,"15°20′N, 38°55′E"
44,Estonia,Tallinn,"59°26′N, 24°45′E"
45,Eswatini,Mbabane,"26°19′S, 31°08′E"
46,Etiopia,Addis Abeba,"9°01′48″N, 38°44′24″E"
47,Fidżi,Suva,"18°08′S, 178°26′E"
48,Filipiny,Manila,"14°35′N, 121°00′E"
49,Finlandia,Helsinki,"60°10′N, 24°56′E"
50,Francja,Paryż,"48°52′N, 2°21′E"
51,Gabon,Libreville,"0°23′N, 9°27′E"
52,Gambia,Bandżul,"13°28′N, 16°36′W"
53,Ghana,Akra,"5°33′N, 0°13′W"
54,Grecja,Ateny,"38°00′N, 23°43′E"
55,Grenada,Saint George’s,"12°03′N, 61°45′W"
56,Gruzja,Tbilisi,"41°43′N, 44°47′E"
57,Gujana,Georgetown,"6°47′N, 58°10′W"
58,Gwatemala,Gwatemala,"14°37′N, 90°31′W"
59,Gwinea,Konakry,"9°32′53″N, 13°40′14″W"
60,Gwinea Bissau,Bissau,"11°52′N, 15°36′W"
61,Gwinea Równikowa,Malabo,"3°45′N, 8°45′E"
62,Haiti,Port-au-Prince,"18°32′N, 72°20′W"
63,Hiszpania,Madryt,"40°25′04″N, 3°41′41″W"
64,Holandia,"Amsterdam (stolica konstytucyjna), Haga (stolica administracyjna)","52°22′N, 4°54′E"
65,Honduras,Tegucigalpa,"14°05′39″N, 87°12′24″W"
66,Indie,Nowe Delhi,"28°07′N, 77°02′E"
67,Indonezja,Dżakarta,"6°10′30″S, 106°49′43″E"
68,Irak,Bagdad,"33°20′N, 44°23′E"
69,Iran,Teheran,"35°42′N, 51°25′E"
70,Irlandia,Dublin,"53°20′N, 6°15′W"
71,Islandia,Reykjavík,"64°08′N, 21°56′W"
72,Izrael,Jerozolima[30][31],"31°46′43″N, 35°13′46″E"
73,Jamajka,Kingston,"17°59′N, 76°48′W"
74,Japonia,Tokio,"35°41′22″N, 139°41′30″E"
75,Jemen,Sana,"15°21′N, 44°12′E"
76,Jordania,Amman,"31°57′N, 35°56′E"
77,Kambodża,Phnom Penh,"11°33′N, 104°55′E"
78,Kamerun,Jaunde,"3°52′N, 11°31′E"
79,Kanada,Ottawa,"45°25′N, 75°42′W"
80,Katar,Doha,"25°18′N, 51°32′E"
81,Kazachstan,Astana,"51°10′N, 71°25′E"
82,Kenia,Nairobi,"1°16′S, 36°48′E"
83,Kirgistan,Biszkek,"42°52′N, 74°34′E"
84,Kiribati,Bairiki,"1°19′32″N, 172°59′00″E"
85,Kolumbia,Bogota,"4°35′56″N, 74°04′51″W"
86,Komory,Moroni,"11°42′S, 43°15′E"
87,Kongo,Brazzaville,"4°15′S, 15°16′E"
88,Korea Południowa,Seul,"37°33′N, 126°59′E"
89,Korea Północna,Pjongjang,"39°01′N, 125°45′E"
90,Kostaryka,San José,"9°55′29″N, 84°04′41″W"
91,Kuba,Hawana,"23°08′12″N, 82°21′32″W"
92,Kuwejt,Kuwejt,"29°22′30″N, 47°58′48″E"
93,Laos,Wientian,"17°58′N, 102°35′E"
94,Lesotho,Maseru,"29°20′S, 27°30′E"
95,Liban,Bejrut,"33°53′N, 35°30′E"
96,Liberia,Monrovia,"6°19′48″N, 10°48′05″W"
97,Libia,Trypolis,"32°54′08″N, 13°11′09″E"
98,Liechtenstein,Vaduz,"47°08′24,0″N, 9°31′17,3″E"
99,Litwa,Wilno,"54°41′N, 25°17′E"
100,Luksemburg,Luksemburg,"49°36′38″N, 6°07′58″E"
101,Łotwa,Ryga,"56°58′N, 24°08′E"
102,Macedonia Północna,Skopje,"42°00′N, 21°26′E"
103,Madagaskar,Antananarywa,"18°55′S, 47°31′E"
104,Malawi,Lilongwe,"13°59′S, 33°47′E"
105,Malediwy,Male,"4°10′N, 73°30′E"
106,Malezja,Kuala Lumpur,"3°09′14″N, 101°41′32″E"
107,Mali,Bamako,"12°39′N, 8°00′W"
108,Malta,Valletta,"35°53′52″N, 14°30′45″E"
109,Maroko,Rabat,"34°01′31″N, 6°50′10″W"
110,Mauretania,Nawakszut,"18°06′N, 15°57′W"
111,Mauritius,Port Louis,"20°09′46″S, 57°30′10″E"
112,Meksyk,Meksyk,"19°25′10″N, 99°08′44″W"
113,Mikronezja,Palikir,"6°54′54″N, 158°09′37″E"
114,Mjanma,Naypyidaw,"19°45′N, 96°12′E"
115,Mołdawia,Kiszyniów,"47°00′50″N, 28°51′00″E"
116,Monako,Monako,"43°43′52″N, 7°25′12″E"
117,Mongolia,Ułan Bator,"47°55′18,82″N, 106°54′19,19″E"
118,Mozambik,Maputo,"25°57′56″S, 32°35′19″E"
119,Namibia,Windhuk,"22°34′S, 17°05′E"
120,Nauru,Yaren,"0°32′36″S, 166°55′11″E"
121,Nepal,Katmandu,"27°42′N, 85°20′E"
122,Niemcy,Berlin,"52°31′07″N, 13°24′30″E"
123,Niger,Niamey,"13°31′N, 2°07′E"
124,Nigeria,Abudża,"9°12′N, 7°11′E"
125,Nikaragua,Managua,"12°08′11,76″N, 86°15′05,03″W"
126,Norwegia,Oslo,"59°54′46,79″N, 10°44′16,79″E"
127,Nowa Zelandia,Wellington,"41°17′20″S, 174°46′38″E"
128,Oman,Maskat,"23°36′N, 58°32′E"
129,Pakistan,Islamabad,"33°43′N, 73°04′E"
130,Palau,Ngerulmud,"7°30′02″N, 134°37′27″E"
131,Panama,Panama,"8°59′N, 79°31′W"
132,Papua-Nowa Gwinea,Port Moresby,"9°28′S, 147°10′E"
133,Paragwaj,Asunción,"25°16′S, 57°37′W"
134,Peru,Lima,"12°03′36″S, 77°02′15″W"
135,Polska,Warszawa,"52°13′56″N, 21°00′30″E"
136,Południowa Afryka,Pretoria (stolica egzekutywna),"25°43′32″S, 28°14′38″E"
137,Portugalia,Lizbona,"38°42′N, 9°11′W"
138,Republika Środkowoafrykańska,Bangi,"4°22′N, 18°35′E"
139,Republika Zielonego Przylądka,Praia,"14°55′N, 23°31′W"
140,Rosja,Moskwa,"55°45′N, 37°37′E"
141,Rumunia,Bukareszt,"44°25′N, 26°06′E"
142,Rwanda,Kigali,"1°57′S, 30°03′E"
143,Saint Kitts i Nevis,Basseterre,"17°18′N, 62°44′W"
144,Saint Lucia,Castries,"14°01′N, 60°59′W"
145,Saint Vincent i Grenadyny,Kingstown,"13°09′39″N, 61°13′34″W"
146,Salwador,San Salvador,"13°41′N, 89°11′W"
147,Samoa,Apia,"13°50′S, 171°45′W"
148,San Marino,San Marino,"43°55′55,24″N, 12°26′54,42″E"
149,Senegal,Dakar,"14°43′12″N, 17°28′48″W"
150,Serbia,Belgrad,"44°48′N, 20°28′E"
151,Seszele,Victoria,"4°37′51″S, 55°27′43″E"
152,Sierra Leone,Freetown,"8°29′N, 13°14′W"
153,Singapur,Singapur,"1°18′N, 103°48′E"
154,Słowacja,Bratysława,"48°08′48,57″N, 17°06′26,06″E"
155,Słowenia,Lublana,"46°03′23″N, 14°30′28″E"
156,Somalia,Mogadiszu,"2°04′N, 45°22′E"
157,Sri Lanka,Sri Dźajawardanapura Kotte,"6°54′N, 79°54′E"
158,Stany Zjednoczone,Waszyngton,"38°53′42″N, 77°02′12″W"
159,Sudan,Chartum,"15°30′N, 32°33′E"
160,Sudan Południowy,Dżuba,"4°51′N, 31°36′E"
161,Surinam,Paramaribo,"5°49′25″N, 55°10′11″W"
162,Syria,Damaszek,"33°31′N, 36°18′E"
163,Szwajcaria,"brak oficjalnej stolicy, siedzibą rządu jest Berno","46,94798°N, 7,44743°E"
164,Szwecja,Sztokholm,"59°20′N, 18°03′E"
165,Tadżykistan,Duszanbe,"38°33′N, 68°48′E"
166,Tajlandia,Bangkok,"13°45′N, 100°31′E"
167,Tanzania,Dodoma,"6°15′S, 35°45′E"
168,Timor Wschodni,Dili,"8°33′31″S, 125°34′25″E"
169,Togo,Lomé,"6°07′55″N, 1°13′22″E"
170,Tonga,Nukuʻalofa,"21°08′S, 175°12′W"
171,Trynidad i Tobago,Port-of-Spain,"10°40′N, 61°31′W"
172,Tunezja,Tunis,"36°50′N, 10°09′E"
173,Turcja,Ankara,"39°56′38″N, 32°51′22″E"
174,Turkmenistan,Aszchabad,"37°58′N, 58°20′E"
175,Tuvalu,Vaiaku,"8°31′16″S, 179°11′54″E"
176,Uganda,Kampala,"0°19′N, 32°35′E"
177,Ukraina,Kijów,"50°27′N, 30°30′E"
178,Urugwaj,Montevideo,"34°53′S, 56°10′W"
179,Uzbekistan,Taszkent,"41°16′N, 69°13′E"
180,Vanuatu,Port Vila,"17°45′S, 168°18′E"
181,Watykan,Watykan,"41°54′14″N, 12°27′11″E"
182,Wenezuela,Caracas,"10°30′N, 66°55′W"
183,Węgry,Budapeszt,"47°30′N, 19°03′E"
184,Wielka Brytania,Londyn,"51°30′N, 0°07′W"
185,Wietnam,Hanoi,"21°02′N, 105°51′E"
186,Włochy,Rzym,"41°53′35″N, 12°28′58″E"
187,Wybrzeże Kości Słoniowej,Jamusukro,"6°50′36″N, 5°17′06″W"
188,Wyspy Marshalla,Majuro,"7°04′N, 171°16′E"
189,Wyspy Salomona,Honiara,"9°26′24″S, 159°57′00″E"
190,Wyspy Świętego Tomasza i Książęca,São Tomé,"0°22′12″N, 6°43′48″E"
191,Zambia,Lusaka,"15°25′S, 28°17′E"
192,Zimbabwe,Harare,"17°49′12″S, 31°03′00″E"
193,Zjednoczone Emiraty Arabskie,Abu Zabi,"24°27′N, 54°23′E"
